Movie Title,Year,terrorism,anger,superstition,threat_to_western,misogyny,riz_score
Dhoom,2004,0,0,0,0,0,0
Main Hoon Na,2004,0,0,0,0,0,0
Veer Zaara,2004,0,0,0,0,1,1
Mangal Pandey,2005,0,0,0,0,0,0
Sarkar,2005,0,0,0,1,0,1
Bunty Aur Babli,2005,0,0,0,0,0,0
Dhoom 2,2006,0,0,0,0,0,0
Fanaa,2006,1,0,1,1,1,4
Don,2006,0,0,0,0,0,0
Taare Zameen Par,2007,0,0,0,0,0,0
Om Shanti Om,2007,0,0,0,0,0,0
Chak De India,2007,0,0,0,0,0,0
Jodhaa Ahkbar,2008,0,1,1,0,1,3
Thoda Pyaar Thoda Magic,2008,0,0,0,0,0,0
Sarkar Raj,2008,1,0,0,0,1,2
3 Idiots,2009,0,0,0,0,0,0
Wanted,2009,0,1,0,1,0,2
Ajab Prem Ki Ghazab Kahani,2009,0,0,0,0,1,1
Tees Maar Khan,2010,0,0,0,0,0,0
Once Upon a Time in Mumbaai,2010,0,1,0,1,0,2
My Name is Khan,2010,1,1,1,0,0,3
Rockstar,2011,0,0,0,0,0,0
Zindagi Na Milegi Dobara,2011,0,0,0,0,0,0
Don 2,2011,0,1,0,1,0,2
Ek Tha Tiger,2012,0,0,0,1,0,1
Jab Tak Hai Jaan,2012,0,0,0,0,0,0
Bol Bachchan,2012,0,0,1,1,0,2***** NEEDS TO BE AGGNEPATH***
